Body Part,Threshold,ROC AUC,Sensitivity,Specificity,Sensitivity CI,Specificity CI
Femur,0.43124986,"(0.9623158339730591, 0.9579511760422456, 0.9666804919038726)",0.9011967715001391,0.9363854534642531,"(0.8910071248182492, 0.9105294547076265)","(0.9351007821006246, 0.9376463906247986)"
Shoulder,0.23551184,"(0.9833610994318664, 0.9812809749348589, 0.985441223928874)",0.9600831600831601,0.9699930976859084,"(0.9553157717657558, 0.9643608879685861)","(0.9690785783962782, 0.9708813822424992)"
Humerus,0.0043182564,"(0.9101943506096097, 0.9058857330220411, 0.9145029681971784)",0.8376519710180523,0.8434169428046845,"(0.8294834581677525, 0.8455020595688372)","(0.8414808969093555, 0.845333689249728)"
Elbow,0.2319944,"(0.9822996602166761, 0.9801657040886192, 0.984433616344733)",0.9417742378467454,0.9718466503838102,"(0.9361592797969877, 0.9469233450946916)","(0.9709593035444588, 0.9727076461987383)"
Knee,0.12266546,"(0.9819422909185294, 0.9806315218436654, 0.9832530599933933)",0.9532752860180217,0.9639317004540513,"(0.9502430371258439, 0.9561312769571931)","(0.9628841056070099, 0.9649508032662167)"
Forearm,0.1474848,"(0.9688270668964198, 0.966006415717805, 0.9716477180750347)",0.936518960966801,0.9083406586221676,"(0.9306504612052116, 0.94192184736661)","(0.9068049395016841, 0.9098535870611426)"
Fibula tibia,0.13092995,"(0.9762738120041043, 0.9731632125713666, 0.9793844114368421)",0.947032967032967,0.9196507483962937,"(0.9401399863607771, 0.9531717454564056)","(0.918216831952183, 0.9210616851264881)"
Clavicle,0.0021434654,"(0.9667818961952512, 0.9638281603817731, 0.9697356320087294)",0.8961858330943504,0.9212408250892106,"(0.888807666838516, 0.9031277809086637)","(0.9198072524124551, 0.9226509254546253)"
Toe,0.039702702,"(0.993432436321714, 0.9895150071349326, 0.9973498655084954)",0.9545454545454546,0.9804007331500458,"(0.9379758506957743, 0.9668449944923144)","(0.9796719458341456, 0.9811038964494915)"
Foot,0.25751224,"(0.9820455075135016, 0.9805400771700924, 0.9835509378569108)",0.9267603739323425,0.9741039074941722,"(0.922461649059597, 0.9308386456512902)","(0.97322636376768, 0.9749534287125483)"
Wrist,0.09118438,"(0.9849900660840196, 0.9839144653542045, 0.9860656668138348)",0.9623403647639642,0.9611686790038307,"(0.9598836467230021, 0.9646521741475299)","(0.96006235527302, 0.9622455613316148)"
Hand,0.042174604,"(0.9765685518192821, 0.9750186306337677, 0.9781184730047966)",0.9485714285714286,0.914259771022503,"(0.9452668597881531, 0.951686678119542)","(0.9127052202966414, 0.9157891924379049)"
Leg,0.22901139,"(0.9465966525076869, 0.942682282331549, 0.9505110226838247)",0.8624031007751938,0.9083861010543928,"(0.8535980314887265, 0.870758785874744)","(0.906856347376092, 0.9098932270454563)"
Ankle,0.2243936,"(0.9695771264671418, 0.9674822403516121, 0.9716720125826714)",0.8953461087211576,0.9337523189338583,"(0.889920779830376, 0.900533932783771)","(0.9323982715791878, 0.9350811333622285)"
Hip,0.17632881,"(0.9879943167908605, 0.9870913608083853, 0.9888972727733356)",0.9609078542278228,0.9602535153443498,"(0.9585709210696634, 0.9631180375406326)","(0.9591184763496797, 0.9613583106283848)"
Finger,1.4642257e-05,"(0.8838325954104799, 0.8772878893525038, 0.890377301468456)",0.8310344827586207,0.7717864768683274,"(0.8196079291836165, 0.8418768830768862)","(0.7695845957512504, 0.7739734963766673)"
Pelvis,0.16997375,"(0.9876637938320072, 0.9867201885398397, 0.9886073991241747)",0.9615428549670639,0.955501024564244,"(0.9591488725402721, 0.9638018384542899)","(0.9543125958972982, 0.9566599435589903)"
