Body Part,Threshold,ROC AUC,Sensitivity,Specificity,Sensitivity CI,Specificity CI
Forearm,0.64630485,"(0.9553396212366979, 0.9506316532932266, 0.9600475891801692)",0.9060319042871385,0.9090053341700659,"(0.8966106782104253, 0.9146763293590308)","(0.8985217992149003, 0.9185040648540477)"
Foot,0.27096412,"(0.9106693578250855, 0.9042236611261265, 0.9171150545240445)",0.81485383197261,0.8897218208092486,"(0.8021832632903338, 0.8268879636747254)","(0.8837515542017048, 0.8954217512384115)"
Humerus,0.16392513,"(0.9525681683215188, 0.9464418176204331, 0.9586945190226045)",0.888509184109355,0.9200275766976904,"(0.87511762397645, 0.9006277865106374)","(0.9127668526729974, 0.9267324747836684)"
Pelvis,0.07863865,"(0.9606863775085631, 0.9542914593000171, 0.9670812957171091)",0.8735697940503433,0.9421170711809096,"(0.8571667403672582, 0.8883345111439227)","(0.9391240026748441, 0.9449716034086018)"
Leg,0.50584966,"(0.9641768778515833, 0.9592770666426935, 0.9690766890604732)",0.9020833333333333,0.9435386473429952,"(0.8906874078753417, 0.9124080580408377)","(0.9351519189956446, 0.9508976815316748)"
Ankle,0.23389341,"(0.9422642071977113, 0.9368588501821015, 0.9476695642133212)",0.8830344827586207,0.892467248908297,"(0.8721647552885285, 0.8930932565350227)","(0.8859578700451717, 0.8986475852444584)"
Clavicle,0.15496841,"(0.9558383628132388, 0.9492237430661044, 0.9624529825603731)",0.8828250401284109,0.9367286973555338,"(0.8674522607558453, 0.8966273644896808)","(0.9297165330626406, 0.9430840883583457)"
Knee,0.18479295,"(0.9169034388573313, 0.9102101532138972, 0.9235967245007654)",0.7800186161960906,0.9403544855120682,"(0.7653889897025771, 0.7939815350147014)","(0.9366409337740835, 0.9438634264436154)"
Fibula tibia,0.4232986,"(0.9621589946636737, 0.9559190556278375, 0.9683989336995099)",0.8952483801295896,0.9295774647887324,"(0.8804737199618548, 0.908386768654618)","(0.9192998362335929, 0.9386335530229942)"
Femur,0.3833192,"(0.9675864603090083, 0.961313398416951, 0.9738595222010656)",0.9285714285714286,0.9144704127299851,"(0.9148154321289049, 0.9402511273040823)","(0.9014431033881608, 0.9259172790886379)"
Hip,0.07867428,"(0.9653724660123292, 0.9602229321352872, 0.9705219998893712)",0.8984962406015038,0.9317932654659358,"(0.8857534671210158, 0.9099621933040034)","(0.9286360824110295, 0.9348205764300672)"
Wrist,0.49316546,"(0.9592720766469296, 0.9566251551626764, 0.9619189981311828)",0.8949437198499196,0.926323695080736,"(0.8891273825700131, 0.9004890834708625)","(0.9217623288770774, 0.9306391382551278)"
Elbow,0.37779322,"(0.9289362909813677, 0.9213950530074226, 0.9364775289553127)",0.8414367060884801,0.8929785957191438,"(0.8258814742567004, 0.8558448404323659)","(0.8841051868860921, 0.9012485030799642)"
Hand,0.36338067,"(0.9480233559528698, 0.9442425498974769, 0.9518041620082627)",0.8811229711946191,0.9122436405246017,"(0.8732377662431079, 0.8885802637918033)","(0.906900541549522, 0.917308052467415)"
Finger,0.42954397,"(0.9521378153453625, 0.9452064117290173, 0.9590692189617076)",0.8742138364779874,0.9340704340704341,"(0.8585785227178612, 0.8883453361678291)","(0.9235303157088978, 0.9432470432055249)"
Shoulder,0.16392513,"(0.9540698263363492, 0.9473922311846654, 0.9607474214880329)",0.8801891749868629,0.9354292168674698,"(0.8648275355521464, 0.8940189817114925)","(0.9285003527578313, 0.9417287607015206)"
Toe,0.042363245,"(0.9418621874629696, 0.9204062055206262, 0.9633181694053129)",0.9137931034482759,0.8367697594501718,"(0.870603922965343, 0.9435023031412977)","(0.8045532707507135, 0.8645697387220211)"
