Body Part,Threshold,ROC AUC,Sensitivity,Specificity,Sensitivity CI,Specificity CI
Forearm,0.21647722,"(0.9675280652605732, 0.9619273869150271, 0.9731287436061193)",0.9359834796076407,0.9378563283922463,"(0.9241962797065454, 0.9460448171763916)","(0.9310085922610767, 0.9440652275709355)"
Foot,0.075966455,"(0.9849655826859502, 0.9785412722638087, 0.9913898931080918)",0.9518248175182482,0.9818809926677947,"(0.9331167226025314, 0.9654935338993583)","(0.9795518876899435, 0.9839491522445881)"
Humerus,0.014102742,"(0.9697287898078821, 0.9581293201021717, 0.9813282595135926)",0.8985507246376812,0.963643420882391,"(0.865706353065122, 0.9240668803794103)","(0.9592348970371734, 0.9675912946242049)"
Pelvis,0.125365,"(0.9317701330372161, 0.9212380973304735, 0.9423021687439588)",0.8604868913857678,0.8948204008731891,"(0.8384121514392675, 0.8799776753987439)","(0.8909718950876063, 0.8985485291950697)"
Leg,0.06733753,"(0.9705608127308895, 0.9645012805690601, 0.9766203448927188)",0.9386666666666666,0.946078431372549,"(0.9253675283888987, 0.9497247177259289)","(0.9392431610429761, 0.9521838678949355)"
Ankle,0.04598821,"(0.9885118766755998, 0.9845333674301632, 0.9924903859210364)",0.9650655021834061,0.9685391289107002,"(0.953987426952436, 0.973550347309235)","(0.9651753070589915, 0.9715875939918244)"
Clavicle,0.0070933346,"(0.9658067992658672, 0.9508648080732567, 0.9807487904584777)",0.8964285714285715,0.9638482222886167,"(0.8552119579715826, 0.9269148001220613)","(0.9591038441457805, 0.9680605323447629)"
Knee,0.067266,"(0.945945705447159, 0.9368193621020563, 0.9550720487922616)",0.8856152512998267,0.9520967741935484,"(0.8659584216869473, 0.9027133107162949)","(0.9489331944641394, 0.9550736493496167)"
Fibula tibia,0.11139007,"(0.9634379453297058, 0.9544210286344992, 0.9724548620249125)",0.9144578313253012,0.9169354838709678,"(0.8934690775984676, 0.9316278190862348)","(0.9076309525399175, 0.9253798064579626)"
Femur,0.3145514,"(0.9522252879338499, 0.9419954339842946, 0.9624551418834051)",0.9009546539379475,0.9626134301270417,"(0.8788631740256001, 0.9193868918970035)","(0.9548610880025, 0.9690774702826165)"
Hip,0.14455573,"(0.9074055135714255, 0.89673126504544, 0.918079762097411)",0.8220588235294117,0.9092722209678633,"(0.8008333177457873, 0.8414700778097874)","(0.9057594900278495, 0.9126666426474552)"
Wrist,0.122524306,"(0.9852114224177598, 0.9825922402749009, 0.9878306045606188)",0.9668548981095016,0.9689273830495204,"(0.9609023067233177, 0.9719276888537219)","(0.9664588979947715, 0.9712196079081705)"
Elbow,0.06410305,"(0.985520372380662, 0.980286522472624, 0.9907542222887)",0.9649298597194389,0.972310630171865,"(0.9516173893415072, 0.974676877909505)","(0.9679562157593536, 0.9760879429356585)"
Hand,0.13181995,"(0.9775529010468721, 0.9730779273887901, 0.9820278747049541)",0.9230769230769231,0.9672813062643572,"(0.9108700772448909, 0.9337335967954182)","(0.9644205996995259, 0.9699191763125132)"
Finger,0.06378837,"(0.9808907966322402, 0.9732394329750255, 0.988542160289455)",0.9429037520391517,0.9751137275889751,"(0.9216284906195097, 0.9586625343030567)","(0.9696100902221376, 0.979641579245688)"
Shoulder,0.0070933346,"(0.9655742682955315, 0.9513264764776601, 0.9798220601134029)",0.9,0.9542360608254887,"(0.861554246463726, 0.9286536531933072)","(0.9490494318501611, 0.9589175605015162)"
Toe,0.00079900667,"(0.8554726368159205, 0.7071562246803206, 1)",0.9,0.7126865671641791,"(0.5958499732047615, 0.9821237869049271)","(0.6804546673425629, 0.7428957268044019)"
